evento;destino;funcionario;cargo;organismo;financiado_por;fecha_inicio;fecha_fin
"VII Encuentro de egresados de la Universidad de Bolonia, Italia, en Latinoamérica ""La Constitución Argentina a 30 años de su reforma"".";ARGENTINA;BARRA Rodolfo Carlos;Procurador del Tesoro de la Nación;Procuración del Tesoro de la Nación;Instituto para el Desarrollo Constitucional (IDC) - Asociación Civil;2024-11-21;2024-11-22
Reuniones de la Secretaría de Hacienda de la Nación con BID y Banco Mundial;ESTADOS UNIDOS;Mana Matías Javier;Subsecretario de Relaciones Financieras Internacionales;Ministerio de Economía;Banco Mundial;2024-11-12;2024-11-16
Comisión General y 197a Reunión del Directorio Ejecutivo de FONPLATA;BRASIL;Mana Matías Javier;Subsecretario de Relaciones Financieras Internacionales;Ministerio de Economía;Banco de Desarrollo FONPLATA;2024-11-17;2024-11-19
Diálogo Político de Alto Nivel sobre Conectividad e Inclusión de la Alianza Digital UE-ALC;CHILE;BRUNELLI DIEGO MARTIN;ASESOR DE LA INTERVENCIÓN;Ente Nacional de Comunicaciones;UNIÓN EUROPEA;2024-11-04;2024-11-07
75º Aniversario de los Convenios de Ginebra de 1949 y reunión de preparación para la XXXIV Conferencia Internacional de la Cruz Roja y Media Luna Roja;MÉXICO;Vilas Paula;Consejera;Ministerio de Relaciones Exteriores, Comercio Internacional y Culto;Comité Internacional de la Cruz Roja;2024-07-03;2024-07-06
Technical Meeting on Decision-Making for Sustaining Operational Excellence in Nuclear Power Plant Operating Organizations, Evento EVT2303089 del OIEA;AUSTRIA;Hosid Ariel Martin;Ingeniero Nuclear;Jefatura de Gabinete de Ministros;Organismo Internacional de Energía Atómica (OIEA);2024-11-03;2024-11-13
Reunión del Comité de Gestión del Consejo Consultivo y Ejecutivo de la UPAEP y sesiones del Consejo de Administración y del Consejo de Explotación Postal de la UPU;SUIZA;GRAPSAS MARIA AGUSTINA;ASESORA DE LA INTERVENCIÓN;Dirección General de Asuntos Jurídicos y Regulatorios;UNIÓN POSTAL DE LAS AMÉRICAS, ESPAÑA Y PORTUGAL;2024-10-29;2024-11-10
Fellowship Training in Operation of Cyclotrons for the Production of Radioisotopes;ITALIA;Rondon Brito David Enrique;Operador de ciclotrón;Comisión Nacional de Energía Atómica;ORGANISMO INTERNACIONAL DE ENERGIA ATOMICA;2024-10-12;2024-11-10
Capacitación en ciclotrón y radiofarmacia en el Hospital Sacro Cuore Don Calabria, Negrar di Valpolicella, Verona, Italia;ITALIA;Cuevas Dalmiro Conrado;Becario;Comisión Nacional de Energía Atómica;OIEA;2024-10-12;2024-11-10
Reunión Intersesional de la Junta Internacional sobre Normas de Competencia para Hidrógrafos y Cartógrafos Náuticos;GRECIA;Chomik Silvia Beatriz;Jefe de División Cartografía entrante;Servicio de Hidrografía Naval;Organización Hidrográfica Internacional;2024-11-09;2024-11-17
8° sesión intersesional del Grupo de Trabajo III de la CNUDMI sobre reforma del sistema de solución de controversias entre inversionistas y Estados;CHINA;CAGNONI EDUARDO ALBERTO;Consejero;Ministerio de Relaciones Exteriores, Comercio Internacional y Culto;CNUDMI;2024-10-21;2024-10-26
49° período de sesiones del Grupo de Trabajo III de la CNUDMI sobre reforma de Solución de Controversias entre Inversionistas y Estados (SCIE);AUSTRIA;CAGNONI EDUARDO ALBERTO;Consejero;Ministerio de Relaciones Exteriores, Comercio Internacional y Culto;Secretaría de la CNUDMI;2024-09-21;2024-09-28
Reunión Técnica sobre Evaluación y Cuantificación de Recursos de Uranio Pronosticados y Especulativos;BRASIL;Salvatore Marcos;JEFE DIVISION GEOLOGIA;Gerencia Exploración de Materias Primas;Organismo internacional de Energía Atómica;2024-11-02;2024-11-11
AIIB Annual Meeting 2024;UZBEKISTÁN;Mana Matías Javier;Subsecretario de Relaciones Financieras Internacionales;Ministerio de Economía;Banco Asiático de Inversión en Infraestructura (AIIB);2024-09-22;2024-09-27
Comisión General y 196a Reunión del Directorio Ejecutivo de FONPLATA;PARAGUAY;Mana Matías Javier;Subsecretario de Relaciones Financieras Internacionales;Ministerio de Economía;Banco de Desarrollo FONPLATA;2024-09-18;2024-09-20
CLXXXII Reunión del Directorio de CAF;PERÚ;Mana Matías Javier;Subsecretario de Relaciones Financieras Internacionales;Ministerio de Economía;Banco de Desarrollo de América Latina y el Caribe (CAF);2024-07-17;2024-07-19
XXVII Reunión de la Asamblea de Gobernadores y eventos en el marco del Aniversario de FONPLATA 50 años;BOLIVIA;Mana Matías Javier;Subsecretario de Relaciones Financieras Internacionales;Ministerio de Economía;Banco de Desarrollo FONPLATA;2024-06-10;2024-06-13
European Nowcasting and Weather Forecasting Conference;NORUEGA;Maldonado Paula Soledad;Investigador de Aplicación Científica con orientación en Modelado Numérico;Dirección Nacional de Ciencia e Innovación en Productos y Servicios;Oranizacion Meteorologica Mundial;2024-11-02;2024-11-10
Tour de Diplomacia Energética a Europa;BÉLGICA;Beljansky Mariela;Subsecretaria;MINISTERIO DE HACIENDA Y FINANZAS PÚBLICAS;Comisión Europea (EULGET);2024-11-02;2024-11-09
I Simposio Internacional en Geología, Minería y Metalurgia;ECUADOR;RODRIGUEZ María Lorena;Subgerente;Comisión Nacional de Energía Atómica;Instituto de Investigación Geológico y Energético mediante auspiciantes;2024-11-05;2024-11-10
I Simposio REPROLAM;BRASIL;Di Carlo Agustín;Técnico en calibraciones;Comisión Nacional de Energía Atómica;Organismo Internacional de Energía Atómica;2024-11-04;2024-11-09
CLXXXI Reunión del Directorio de CAF y Asambleas de Gobernadores del BID y la BID Invest;REPÚBLICA DOMINICANA;Mana Matías Javier;Subsecretario de Relaciones Financieras Internacionales;Ministerio de Economía;Banco de Desarrollo de América Latina y el Caribe (CAF);2024-03-06;2024-03-11
“Taller de Formación sobre los Avances en las Técnicas de Haces de Iones y sus Aplicaciones (Training Workshop on Advances in Ion Beam Techniques and their Applications)”;ESLOVENIA;GUARDA Tamara Ayelén;INVESTIGADORA;Comisión Nacional de Energía Atómica;AGENCIA INTERNACIONAL DE ENEGÍA ATÓMICA (IAEA);2024-10-18;2024-10-29
Technical Working Group Heavy Water Reactors;AUSTRIA;Ranalli Juan Manuel;Gerente de Área Energía Nuclear;Jefatura de Gabinete de Ministros;Organismo Internacional de Energía Atómica;2024-10-23;2024-11-04
DIALOGO REGIONAL DE POLITICA;MÉXICO;Avendaño Natalia;PRESIDENTE;Agencia Nacional de Promoción de la Investigación, el Desarrollo Tecnológico y la Innovación;BANCO INTERAMERICANO DE DESARROLLO;2024-11-10;2024-11-13
Semana de la Energía de OLADE;PARAGUAY;Beljansky Mariela;Subsecretaria;MINISTERIO DE HACIENDA Y FINANZAS PÚBLICAS;OLADE;2024-10-28;2024-10-31
REUNION DE EXPERTOS LEGALES;JAPÓN;DE SANTIS SOLLA LUCIANA PAULA;SUBPREFECTO;Ministerio de Seguridad;NACIONES UNIDAS;2024-04-03;2024-04-09
Simposio de radiaciones ionzantes y polimeros;BRASIL;borda brian marcelo matias;Investigador;Comisión Nacional de Energía Atómica;OIEA-CNEN;2024-10-26;2024-11-02
ASISTENCIA AL ACTO Y ALMUERZO DE CONFRATERNIDAD;ARGENTINA;COLLOMB Marcelo Oscar;PRESIDENTE;MINISTERIO DE CAPITAL HUMANO;Federeación Provincial de Mutualidades de Córdoba;2024-10-26;2024-10-27
IRaP 2024;BRASIL;Mazzei Andrade Mauro Gastón;Analista técnico;Gerencia de Área Producción de Radioisótopos y Aplicaciones de la Radiación;CNEN (Comissão Nacional de Energia Nuclear);2024-10-27;2024-11-03
15° SIMPOSIO INTERNACIONAL DE POLÍMEROS Y RADIACIÓN IONIZANTE (IRAP 2024);BRASIL;BUSTAMANTE PAOLA ANDREA;INVESTIGADOR;Gerencia de Área Producción de Radioisótopos y Aplicaciones de la Radiación;COMISSÃO NACIONAL DE ENERGIA NUCLEAR (CNEN);2024-10-27;2024-11-03
La Seguridad Social y los desafíos del futuro, la mejora de la gobernanza de las instituciones en iberoamérica;ESPAÑA;DE LOS HEROS BATTINI Mariano Antonio Salvador;Director Ejecutivo;Administración Nacional de Seguridad Social;Organización Iberoamericana de Seguridad Social (OISS);2024-10-26;2024-11-03
AeroMetSci-Conferencia Científica de Meteorología Aeronáutica 2024 and Task Team-LTP- Reunión de trabajo del grupo de tareas Plan a Largo Plazo de Meteorología Aeronáutica 2024;SUIZA;Ribero Claudia Yolanda;Especialista de Aplicación Científica en Dirección de Meteorología Aeronáutica;Servicio Meteorológico Nacional;Organización Meteorológica Mundial;2024-10-19;2024-11-01
5º Simposio Internacional sobre Radiación Ionizante y Polímeros, IRaP 2024.;BRASIL;Garrido Juan Ignacio;Investigador;Gerencia de Área Aplicaciones de la Tecnología Nuclear;Comisión Nacional de Energía Nuclear (CNEN, Brasil);2024-10-28;2024-11-01
IRAP (Simposio de Polimeros y Radiaciones ionizantes);BRASIL;Espantoso Matias Leonardo;Investigador;Administración Pública Nacional;CNEN;2024-10-28;2024-11-03
15º Simposio Internacional sobre Radiación Ionizante y Polímeros, IRaP 2024;BRASIL;Cingolani Maria Celeste;Investigador;Gerencia de Área Aplicaciones de la Tecnología Nuclear;Comisión Nacional de Energía Nuclear (CNEN, Brasil);2024-10-28;2024-11-01
Workshop en Procedimientos de Inspección SNRI en Plantas de Fabricación;BRASIL;CASTILLO FACUNDO EZEQUIEL;INSPECTOR;Comisión Nacional de Energía Atómica;ABACC;2024-10-28;2024-11-01
Seminario sobre Finanzas Sostenibles en los Mercados de Capitales Iberoamericanos;GUATEMALA;Salvatierra Sonia Fabiana;Vocal del Directorio;Ministerio de Economía;INSTITUTO IBEROAMERICANO DE MERCADO DE VALORES;2024-10-14;2024-10-19
"“Taller para el diseño de Proyectos Nacionales del ciclo 2026-2027 (""Workshop on the Design of 2026-2027 National Technical Cooperation Projects).";PANAMÁ;RINALDI CARLOS ALBERTO;INVESTIGADOR;Comisión Nacional de Energía Atómica;ORGANISMO INTERNACIONAL DE ENERGÍA ATÓMICA (OIEA);2024-10-27;2024-11-02
Workshop en Procedimientos de Inspección SNRI en Plantas de Fabricación;BRASIL;FERRETTO MAXIMILIANO ANDRES;INSPECTOR;Comisión Nacional de Energía Atómica;AGENCIA BRASILEÑO-ARGENTINA DE CONTABILIDAD Y CONTROL DE MATERIALES NUCLEARES;2024-10-28;2024-11-01
Conferencia Internacional sobre Reactores Pequeños y Modulares –SMR- y sus Aplicaciones (International Conference on Small Modular Reactors and their Applications;AUSTRIA;Giménez Marcelo Oscar;Jefe Departamento Seguridad Nuclear;Administración Pública Nacional;OIEA - Organismo Internacional de Energía Atómica;2024-10-18;2024-10-27
Taller de desafíos de licenciemiento en reactores modulares pequeños (SMR);BRASIL;Brusa Andrea;Analista en Seguridad Nuclear- Licenciamiento;Gerencia de Área Central Argentina de Elementos Modulares (CAREM);Organismo Internacional de Energía Atómica;2024-10-06;2024-10-12
TALLER EN INNOVACIÓN EN INFRAESTRUCTURA EDUCATIVA PARA EL APRENDIZAJE EN AMERICA LATINA Y EL CARIBE;COLOMBIA;THOMAS JOSE MANUEL;SECRETARIO GENERAL;SE#MCH;BANCO DESARROLLO AMERICA LATINA Y EL CARIBE;2024-11-04;2024-11-08
"Taller “Medición del Impacto de la Gestión de Riesgos de Cumplimiento""";PERÚ;NOVELLO JENNIFER;JEFE DE DEPARAMENTO;Administración Federal de Ingresos Públicos;FAD-FMI;2024-08-13;2024-08-18
INTERCAMBIO DE EXPERIENCIAS PARA APOYAR POLITICA FEDERAL DE MEJORA DE ALFABETIZACIÓN INICIAL;BRASIL;THOMAS JOSE MANUEL;SECRETARIO GENERAL;Secretaría de Educación;BANCO INTERAMERICANO DE DESARROLLO;2024-10-20;2024-10-24
"""Diálogo Político de Alto Nivel sobre Gobernanza de Datos"" y “Discusión entre autoridades regionales de protección de datos” Montevideo- Uruguay.";URUGUAY;PAULERO VIOLETA;DIRECTORA NACIONAL;Agencia de Acceso a la Información Pública;Fundación Internacional y para Iberoamérica de Administración y Políticas Públicas (FIIAPP);2024-09-29;2024-10-02
Escuela de Liderazgo en pro de la Seguridad Nuclear y Radiológica;MÉXICO;Geuna Antonela;Analista de Protección Radiológica;Gerencia de Área CAREM;Organismo Internacional de Energía Atómica;2024-09-28;2024-10-13
"l Taller ""Criterios para Estándares Técnicos de Infraestructuras Penitenciarias (CETIP";BRASIL;STECCO Guillermo Ruben;Auxiliar área técnico profesional;Dirección Nacional del Servicio Penitenciario Federal;Comité Internacional de la Cruz Roja (CICR);2024-10-15;2024-10-18
ii congreso internacional de etno y arqueomusicologia;MÉXICO;Bogarin Dora Elena;vicepresidenta;Directorio;universidad nacional 3 de febrero;2023-03-30;2023-03-10
INFCOM MANAGEMENT GROUP MEETING;SUIZA;Suaya Martina;Directora de Operaciones y Comunicaciones Meteorológicas;Dirección Nacional de Planificación y Gestión de la Información Meteorológica;Organizacion Meteorologica Mundial;2024-09-29;2024-10-06
Feria InnoTrans 2024;ALEMANIA;Krajzelman Marcelo David;Presidente;Administración de Infraestructuras Ferroviarias Sociedad del Estado;Banco Mundial;2024-09-18;2024-09-27
75 Aniversario de los Convenios de Ginebra de 1949 y preparación para la 34 Conferencia Internacional de la Cruz Roja;MÉXICO;Alfonsín Cano Anabel Beatriz;Asesora Legal;Ministerio de Relaciones Exteriores, Comercio Internacional y Culto;Comité Internacional de la Cruz Roja;2024-07-03;2024-07-06
no;ARGENTINA;x x;x;Gerencia de Área Producción de Radioisótopos y Aplicaciones de la Radiación;cnea;2024-10-08;2024-10-09
45° Convención Anual del IAEF;ARGENTINA;Sturzenegger Federico;Ministro;Ministerio de Desregulación y Transformación del Estado;IAEF Instituto Argentino de Ejecutivos de Finanzas;2024-09-06;2024-09-06
Programa Regional de Educación Sistemática de Servicio Veterinarios de Latinoamérica 2024;BRASIL;Pierdomenico Agostina;TECNICO PROFESIONAL;Servicio Nacional de Sanidad y Calidad Agroalimentaria;Center for Animal Health and Food Safety (CAHFS) y PANAFTOSA-OPS/OMS;2024-09-16;2024-09-20
Primer Encuentro Regional por una Conectividad Inclusiva;PARAGUAY;Huici Hector María;Subsecretario;Ministerio de Desregulación y Transformación del Estado;LACNIC;2024-10-09;2024-10-11
TALLER DE DIALOGO SOSTENIDO;PARAGUAY;RAAD ANGELA;INVESTIGADOR;Gerencia de Área Producción de Radioisótopos y Aplicaciones de la Radiación;CRDF GLOBAL;2024-07-15;2024-07-19
STUDY TOUR;ESPAÑA;PLENCOVICH MARIANO IGNACIO;SUBSECRETARIO DE TRANSPORTE AUTOMOTOR;Secretaría de Transporte;THE WORLD BANK;2024-09-14;2024-09-21
Viaje de Estudio y Vísita Técnica al Sector Ferroviario;ESPAÑA;Cupo Claudio Fernando;Director Titulsr;Administración de Infraestructuras Ferroviarias Sociedad del Estado;Banco Mundial;2024-09-15;2024-09-20
Escuela conjunta ICTP-IAEA en gestión de energía nuclear;ITALIA;Kniznik Laura;Jefe División Combustibles Gastados - Programa Nacional de Gestión de Residuos Radiactivos;Administración Pública Nacional;ICTP;2024-09-07;2024-09-22
Expansión de Soluciones Ferroviarias en América Latina;ESPAÑA;Ferreiro Martín Gabriel;SUBSECRETARIO DE TRANSPORTE FERROVIARIO;Secretaría de Transporte;Banco Mundial;2024-09-14;2024-09-21
Simposio Internacional sobre Inocuidad y Control de Alimentos;AUSTRIA;RAAD ANGELA;INVESTOGADORA;Comisión Nacional de Energía Atómica;ORGANISMO INTERNACIONAL DE ENERGÍA ATÓMICA;2024-05-25;2024-06-02
“Gestión de la información financiera utilizando las herramientas digitales”;PERÚ;Porporatto Pablo;Vocal;Tribunal Fiscal de la Nación;Pontificia Universidad Católica del Perú;2024-09-24;2024-09-26
Conferencia Panamericana de Meteorologia;BRASIL;Mezher Romina;Especialista en Desarrollo de capacidades;Dirección Nacional de Ciencia e Innovación en Productos y Servicios;IAI - SISSA;2024-08-21;2024-08-23
24ta CONFERENCIA EN ESPECTROMETRÍA DE MASAS DE IONES SECUNDARIOS (SIMS-24);FRANCIA;LUCERO MANZANO Andrea Marina;Investigadora;Comisión Nacional de Energía Atómica;LUCERO MANZANO Andrea Marina;2024-08-30;2024-09-18
Participar como disertante en el IMPACT (Initiative for Mitigating Pollution and Climate Threats - Iniciativa para Mitigar la Polución y las Amenazas Climáticas);ESTADOS UNIDOS;Beljansky Mariela;Subsecretaria;Ministerio de Hacienda y Finanzas Públicas;Gobierno de los Estados Unidos de América;2024-09-07;2024-09-15
Cubre XIV AMERIPOL;BRASIL;FIGUEREDO GUILLERMO;DIRECTOR DE POLICIA JUDICIAL, PROTECCION MARITIMA Y PUERTOS;Prefectura Naval Argentina;Comunidad de Policía de América;2024-09-01;2024-09-06
CUMBRE XIV AMERIPOL;ARGENTINA;CORDOBA CARLOS EDUARDO;JEFE DE DEPARTAMENTO POLICIA JUDICIAL;Prefectura Naval Argentina;COMUNIDAD DE POLICIA DE AMERICA;2024-09-01;2024-09-06
Duodécimo curso de capacitación general (GTC12) del Memorándum de Entendimiento de Tokio para funcionarios encargados del control por el Estado rector del puerto (PSCO);JAPÓN;PESOA LEONARDO GASTON;PREFECTO/JEFE OFICINA ESTADO RECTOR DE PUERTO;Prefectura Naval Argentina;ORGANIZACION MARITIMA INTERNACIONAL;2024-08-18;2024-09-11
Inauguracion de la muestra itinerante: Memória argentina para o mundo: o Centro Clandestino ESMA,;BRASIL;Gorosito María Marcela;Directora Ejecutiva;Secretaría de Derechos Humanos;Memorial de la Resistencia de San Pablo;2024-09-05;2024-09-08
PARTICIPACIÓN EN ACTIVIDAD DE FORMACIÓN PROFESIONAL E INTERCAMBIO EN EL MARCO DEL PROYECTO DE COOPERACIÓN “DIÁLOGO TÉCNICO ARGENTINO - ALEMÁN DE INNOVACIONES SUSTENTABLES”;ALEMANIA;Landa Marianela Belén;Analista Profesional de Laboratorio;Servicio Nacional de Sanidad y Calidad Agroalimentaria;IAK Agrar Consulting GmbH;2024-08-31;2024-09-11
TERCERA REUNIÓN DE COORDINACIÓN DE INVESTIGACIÓN SOBRE APLICACIÓN DE TECNOLOGÍAS AVANZADAS DE CARACTERIZACIÓN MOLECULAR A TRAVÉS DE LA RED DE LABORATORIOS DE DIAGNÓSTICO VETERINARIO (RED VETLAB);AUSTRIA;RIVA DIEGO ARIEL;COORDINADOR;Dirección General de Laboratorios y Control Técnico;ORGANIZACION DE LAS NACIONES UNIDAS PARA LA ALIMENTACIÓN Y LA AGRICULTURA (FAO) / ORGANISMO INTERNACIONAL DE ENERGÍA ATÓMICA (OIEA);2024-08-17;2024-08-25
XIII Encuentro Regional con Administraciones Tributarias sobre Fiscalidad Internacional;ARGENTINA;Porporatto Pablo;Vocal;Tribunal Fiscal de la Nación;Red Latinoamericana por Justicia Económica y Social (Latindadd), el Centro Interamericano de Administraciones Tributarias (CIAT) y el Servicio de Impuestos Internos de Chile (SII), con el auspicio y colaboración de la Red de Justicia Fiscal de Améri;2024-09-15;2024-09-17
Programa de Desarrollo Oficial de Asistencia, para el Fortalecimiento de la Capacidad de Gestión Segura de las Importaciones y/o Exportaciones de Alimentos incluyendo Productos Agrícolas, Pesqueros y Ganaderos en América Latina y el Caribe;COREA DEL SUR;MÉNDEZ JULIA MARÍA;SUPERVISORA;Servicio Nacional de Sanidad y Calidad Agroalimentaria;MINISTERIO DE INOCUIDAD EN ALIMENTOS Y MEDICAMENTOS (MFDS);2024-08-30;2024-09-11
SIMPOSIO SOBRE CLIMA Y DEFENSA DE LAS AMÉRICAS;ESTADOS UNIDOS;WAGENER ADRIAN OSVALDO;JEFE DEL SERVICIO DE SALVAMENTO, INCENDIO Y PROTECCIÓN AMBIENTAL;Prefectura Naval Argentina;EMBAJADA DE LOS ESTADOS UNIDOS;2024-08-19;2024-08-26
Curso sobre Aspectos Administrativos de la Oncología Radioterapéutica;ESTADOS UNIDOS;Rodriguez María Fernanda;Jefa de División;Gerencia de Área Aplicaciones Nucleares a la Salud;Organismo Internacional de Energía Atómica;2024-08-17;2024-08-25
REUNIÓN CONSEJO DE ADMINISTRACIÓN FUNDACIÓN CEMENURNK;ARGENTINA;LAURINEC FERNANDO;SUBGERENTE;JEFATURA DE GABINETE;FUNDACIÓN CEMENURNK;2024-09-04;2024-09-06
Foro de Innovación Orientada por Misión Cono Sur;URUGUAY;AVENDAÑO NATALIA IRENE;SUBSECRETARIA DE GESTION ADMINISTRATIVA;Jefatura de Gabinete de Ministros;Programa de Naciones Unidas para el Desarrollo;2024-09-09;2024-09-11
Workshop NDT-CE Ankara;TURQUÍA;Xargay Hernan Daniel;Jefe de División;Jefatura de Gabinete;OIEA (Organismo Internacional de Energía Atómica);2024-08-23;2024-08-31
Participar del “Tercer Diálogo de Alto Nivel Plataforma Regional de Cambio Climático de los Ministerios de Hacienda, Economía y Finanzas” del 30 al 31 de agosto en la ciudad de San Pedro, Belice.;BELICE;Pelliza María José;Consultor 1 (contrato de Locación de Servicios);Ministerio de Economía;BID;2024-08-28;2024-09-02
Cumbre Latinoamericana de Inteligencia Artificial Colombiana;COLOMBIA;TORRENDELL Carlos Horacio;Secretario de Educación;Secretaría de Educación;Ministerio de Tecnologías de la Información y las Comunicaciones de la República de Colombia;2024-08-08;2024-08-10
Foro China-Comunidad de estado Latinoamericano y Caribeño.;CHINA;Mostafa Julio Cesar;DIRECTOR DE OPERACIONES Y PROTECCION CIUDADANA;PREFECTURA NAVAL ARGENTINA;Embajada Popular China;2024-07-27;2024-08-19
CURSO INTERNACIONAL “FRAUDULENT DOCUMENTS AND INTERNATIONAL BORDER INTERDICTION COURSE”;EL SALVADOR;SVEGLIATI RAMIRO ESTEBAN;PREFECTO;PNA#MSG;Embajada de los Estados Unidos de América en Buenos Aires.;2024-08-10;2024-08-25
Foro China-comunidad de Estados Latinoamericanos y Caribeños;CHINA;WATTERS Carlos Andres;JEFE DEPARTAMENTO;Prefectura Naval Argentina;GUARDIA COSTERA DE CHINA;2024-07-27;2024-08-19
"Disertación ""Los Reglamentos Delegados y DNU"", en particular el DNU-2023-70- APN-PTE";ARGENTINA;BARRA Rodolfo Carlos;Procurador del Tesoro de la Nación;Procuración del Tesoro de la Nación;Universidad de la Cuenca del Plata;2024-08-26;2024-08-27
"Disertación ""Los Reglamentos Delegados y DNU"", en particular el DNU-2023-70-APN-PTE";ARGENTINA;SERRANO Marcos Sebastián;Subprocurador del Tesoro de la Nación;Procuración del Tesoro de la Nación;Universidad de la Cuenca del Plata;2024-08-26;2024-08-27
Dictado de clases, investigación, presentación en congreso internacional ICNCT-20;ITALIA;Portu Agustina Mariana;Investigadora;Comisión Nacional de Energía Atómica;Committee for International Cooperation and Development;2024-05-25;2024-07-01
Jornadas de Actualización sobre el Control y Acción contra la Garrapata;ARGENTINA;CHAPARRO SANCHEZ MARIA LUCIANA;A CARGO DEL PROGRAMA DE GARRAPATA DEL BOVINO;Dirección de Centro Regional Corrientes - Misiones;MINISTERIO DE GANADERIA, AGRICULTURA Y PESCA;2024-08-07;2024-08-09
1a Capacitación Científico del Modelo para la Predicción de los Océanos, Superficie Terrestre y Atmósfera (MONAN - Model for Ocean-laNd-Atmosphere predictioN);ARGENTINA;Matsudo Cynthia;Investigador de Aplicación Científica con orientación en Modelado Numérico;Dirección de Productos de Modelación Ambiental y de Sensores Remotos;Instituo Nacional de Pesquisas Espaciales;2024-08-11;2024-08-17
Curso de materiales de referencia;PARAGUAY;Franco Cristina;Profesional técnico;Administración Pública Nacional;IAEA;2024-08-04;2024-08-10
7ª Sesión -la de clausura- del Comité Ad hoc de las Naciones Unidas para elaborar un convenio internacional amplio sobre la utilización de las Tecnologías de la Información y las Comunicaciones con Fines Delictivos;ESTADOS UNIDOS;MORELLI RUBIO RICARDO ALEJANDRO;SECRETARIO/A 1RA;Ministerio de Relaciones Exteriores, Comercio Internacional y Culto;?;2024-07-27;2024-08-11
RLA6092 - EVT2400807 - Curso de Capacitación Regional sobre Radioterapia en Arco Modulado Volumétrico (VMAT) y Radioterapia Guiada por Imagen (IGRT);ESTADOS UNIDOS;Espector Natalia Mercedes;Especialista en Física de la Radioterapia;Gerencia de Área Aplicaciones Nucleares a la Salud;Organismo Internacional de Energía Atómica (OIEA);2024-08-05;2024-08-13
III REUNIÓN II ORDINARIA DEL COMITÉ VETERINARIO PERMANENTE DEL CONO SUR (CVP);PARAGUAY;OSACAR NESTOR ANIBAL;DIRECTOR NACIONAL DE SANIDAD ANIMAL;Dirección Nacional de Sanidad Animal;COMITE VETERINARIO PERMANENTE DEL CONO SUR;2024-08-12;2024-08-15
IAEA Consultancy Meeting (EVT2403367) on the Current Status and Future of Neutron Transmutation Doping Silicon at Research Reactors;AUSTRIA;SANCHEZ FERNANDO ARIEL;Jefe Sección Proyectos y Licenciamientos;Comisión Nacional de Energía Atómica;OIEA;2024-08-03;2024-08-09
Transnational Feminist Conference. Memory and Reparation;ESTADOS UNIDOS;GOROSITO MARIA MARCELA;DIRECTORA EJECUTIVA;Ministerio de Justicia;Women and Gender in Global Perspectives Program (WGGP);2024-03-31;2024-04-08
Course on Securities Statistics;ESTADOS UNIDOS;PRIETO CARLOS GASTÓN;ASESOR;Dirección Nacional de Estadísticas del Sector Externo y Cuentas Internacionales;FONDO MONETARIO INTERNACIONAL;2024-09-20;2024-09-29
Curso Nivel 1-2 Ultrasonidos;REINO UNIDO;Leanes Facundo;Asistente de ingeniería;Comisión Nacional de Energía Atómica;OIEA;2024-05-11;2024-05-27
Commemorative Event of the 125th Anniversary of the Permanent Court of Arbitration (PCA) e Inaugural Forum of Chief Legal Advisors.;SINGAPUR;DE LA CRUZ Andrés;Subprocurador del Tesoro de la Nación;Procuración del Tesoro de la Nación;Attorney-General´s Chambers of Singapore;2024-07-19;2024-08-04
Curso de Entrenamiento en Shearografia;REINO UNIDO;Gervasoni Nelson Miguel;Técnico especializado;Comisión Nacional de Energía Atómica;Organismo Internacional de Energía Atómica;2024-06-15;2024-06-30
Inaugural Forum of Chief Legal Advisors y Commemorative Event of the 125th Anniversary of the Permanent Court of Arbitration (PCA).;SINGAPUR;LOZZA Mariana Mabel;Directora Nacional de Asuntos y Controversias Internacionales;Procuración del Tesoro de la Nación;Attorney-General´s Chambers of Singapore;2024-07-22;2024-07-28
CURSO DE FORMACIÓN GENERAL EN MATERIALES COMPUESTOS (COMPOSITES);ESPAÑA;Lopez Betancur David Alejandro;Investigador / Becario A2;Gerencia de Área Investigación, Desarrollo e Innovación;Organismo Internacional de Energía Atómica (IAEA);2024-07-14;2024-07-20
29° Período de Sesiones del Consejo de la Autoridad Internacional de los Fondos Marinos;JAMAICA;GOYA MARÍA EUGENIA;SECRETARIO 3RA;Ministerio de Relaciones Exteriores, Comercio Internacional y Culto;Autoridad Internacional de los Fondos Marinos;2024-07-13;2024-07-28
“Visita de estudio a Bogotá y Santa Marta, Colombia, en el marco del Programa De Control De Contenedores (CCP)”;COLOMBIA;CANCA GOTUSSO Diego Valentino;JEFE DELEGACION INTELIGENCIA CRIMINAL E INVESTIGACIONES DE LA PREFECTURA DE ZONA BAJO PARANA;Ministerio de Seguridad;UNODC;2024-07-13;2024-07-21
Trabajo de investigacion;ESPAÑA;Sidelnik Ivan;Jefe departamento;Comisión Nacional de Energía Atómica;CIEMAT;2024-07-06;2024-07-21
PRUEBAS DE ACEPTACIÓN EN FÁBRICA (FAT) DEL MÓDULO DE ACTUALIZACIÓN DEL SISTEMA DEL SIMULADOR DE NAVEGACIÓN Y MANIOBRA DE LA ESCUELA SUPERIOR DE LA PREFECTURA NAVAL ARGENTINA;ITALIA;ACCORNERO SATTO RÓMULO GUILLERMO;Director General de Recursos Humanos y Desarrollo;Prefectura Naval Argentina;ATLANTIS ELECTRONICS CORP;2024-07-05;2024-07-14
