evento;destino;funcionario;cargo;organismo;financiado_por;fecha_inicio;fecha_fin
SÉPTIMA ELECCIÓN REGIONAL SIMULTÁNEA;COREA DEL SUR;COSTABELLA PAOLA FABIANA;DIRECTORA DE COOPERACIÓN Y ASISTENCIA ELECTORAL;Dirección Nacional Electoral;COMISIÓN NACIONAL ELECTORAL;2018-06-05;2018-06-16
Misión SALTO en Central Nuclear Angra I;BRASIL;Antonaccio Elvio Eduardo;Jefe de División Evaluación y Actualización Tecnológica;Ministerio de Energía y Minería;Organismo Internacional de Energía Atómica;2018-05-01;2018-05-12
Primer reunión del Grupo de Trabajo 1 de Componentes Mecánicos, perteneciente a la fase 4 del Proyecto IGALL (Lecciones Genéricas Aprendidas sobre Envejecimiento a nivel Internacional);ESTADOS UNIDOS;Brenna Pablo José;Jefe de sección Instalaciones Existentes y Nuevas;Ministerio de Energía y Minería;Organismo Internacional de Energía Atómica;2018-06-24;2018-07-01
Congreso Anual, Federación Argentina de Asociaciones de Empresas de Viajes y TURISMO FAEVYT;ARGENTINA;Ceccotti Eduardo;Director Nacional de Uso Público;Administración de Parques Nacionales;FEDERACIÓN ARGENTINA DE ASOCIACIONES DE EMPRESAS DE VIAJES Y TURISMO (FA EVYT);2018-05-30;2018-05-31
XXXVII Reunión de la CEPAL;CUBA;Alvarez de Celis Fernando;Secretario;Secretaría de Planificación Territorial y Coordinación de Obra Pública;CEPAL;2018-05-09;2018-05-13
EXPOSICIÓN DE MANUFACTURES DES GOBELINS;FRANCIA;DUPRAT ANDRÉS GUSTAVO;DIRECTOR EJECUTIVO;Ministerio de Cultura;Embajada de Francia en Argentina;2017-06-08;2017-06-22
"EXPOSICÓN ""Seeing and Believing"" DEL ARTISTA LEANDRO ERLICH";JAPÓN;DUPRAT ANDRÉS GUSTAVO;DIRECTOR EJECUTIVO;Museo Nacional de Bellas Artes;MUSEO MORI;2018-03-30;2018-04-06
ORGANIZACIÓN EXPOSICIÓN XUL SOLAR PANACTIVISTA;MÉXICO;DUPRAT ANDRÉS GUSTAVO;DIRECTOR EJECUTIVO;Museo Nacional de Bellas Artes;INBA;2017-03-12;2017-03-22
Escuela Internacional de Seguridad Física Nuclear;ESPAÑA;Fourcade Martín;Asesor Especializado;Subsecretaría de Energía Nuclear;OIEA (Organismo Internacional de Energía Atómica);2018-05-18;2018-06-03
2nd Programme Committee Meeting;AUSTRIA;Caceres Leandro Federico Hernan;Asesor;Subsecretaría de Energía Nuclear;Organismo Internacional de Energía Atómica;2018-06-01;2018-06-10
Jaguar Negro;MÉXICO;Longo Pedro Matias;Asesor;Subsecretaría de Energía Nuclear;GICNT;2018-05-28;2018-06-02
CUMBRE INTERNACIONAL TECNICA DEL VINO 2018 Y VISITA AL DPTO. DE VITICULTURA Y ENOLOGIA DE LA UNIVERSIDAD DE CALIFORNIA DAVIS;ESTADOS UNIDOS;MANZANO Manuel Humberto;Subgerente de Investigación para la Fiscalización;Instituto Nacional de Vitivinicultura;INSTITUTO DEL VINO CALIFORNIA;2018-06-02;2018-06-10
Programa de formación en gobierno digital para funcionarios de gobierno de América Latina y el Caribe;COREA DEL SUR;Rougier Nicolás Antonio;Coordinador de Diseño e Interacción;Subsecretaría de Gobierno Digital;Banco Interamericano de Desarrollo;2018-06-15;2018-06-23
XXXXX;ARGENTINA;XXXXX XXXXX;XXXXX;Dirección de Servicios Digitales, Informáticos y de Telecomunicaciones;XXXXX XXXXX;2018-06-12;2018-06-12
Debates para la Integridad en América Latina;BRASIL;Podesta Maria Carolina;ASESOR;Ministerio de Justicia y Derechos Humanos;Alliance for Integrity;2018-05-02;2018-05-05
Congreso Mundial sobre Justicia para Niños, Niñas y Adolescentes;FRANCIA;BURATOVICH María Mercedes;Asesora;Ministerio de Justicia y Derechos Humanos;Conferencia de Ministros de Justicia de los Países Iberoamericanos (COMJIB);2018-05-26;2018-06-01
"""Cyrus R.Vance Center for International Justice""";MÉXICO;MAURINO GUSTAVO DANIEL;DIRECTOR NACIONAL;Dirección Nacional de Promoción y Fortalecimiento para el Acceso a la Justicia;Red Pro Bono de las Américas;2018-03-11;2018-03-15
"""Reimagining Justice"" Realizing Human Rights Through Legal Empowerment";ESTADOS UNIDOS;MAURINO GUSTAVO DANIEL;DIRECTOR NACIONAL;Dirección Nacional de Promoción y Fortalecimiento para el Acceso a la Justicia;Universidad de Nueva York;2018-03-26;2018-03-27
Subject: Regional Workshop on Nuclear Law for Latin America and the Caribbean, Santiago, Chile, from 25 June 2018 to 29 June 2018;CHILE;PAEZ MARIANO ROMAN;SUBGERENTE ASUNTOS JUDICIALES;Ministerio de Energía y Minería;ORGANIZACION INTERNACIONAL DE ENERGIA ATOMICA;2018-06-24;2018-06-30
Reunión Regional de CSIRTs de las Américas;BRASIL;Morotti Edgardo Oscar;Director;Ministerio de Modernización;OEA;2018-05-14;2018-05-18
Third International Conference on Human Resource Development for Nuclear Power Programmes: Meeting Challenges to Ensure the Future Nuclear Workforce Capability;COREA DEL SUR;SAYAN Julieta;Jefa Sección Calidad;Comisión Nacional de Energía Atómica;Organismo Internacional de Energía Atómica;2018-05-24;2018-06-02
Primera reunión del grupo de trabajo 2 de la fase 4 del proyecto IGALL;AUSTRIA;Antonaccio Elvio Eduardo;Jefe de División Evaluación y Actualización Tecnológica;Comisión Nacional de Energía Atómica;OIEA;2018-06-02;2018-06-11
Misión de Observación Internacional – Elección Presidencial 2018 en Colombia;COLOMBIA;Perez Jose Adrian;SECRETARIO;Ministerio del Interior, Obras Públicas y Vivienda;Organización Electoral de Colombia;2018-05-24;2018-05-28
Conferencia de alto nivel sobre ética e integridad en el sector público organizada por el Banco Mundial y la Procuraduría General de la Nación de Colombia;COLOMBIA;sanchez fernando;secretario de fortalecimiento institucional;Secretaria de Fortalecimiento Institucional;Banco Mundial;2018-05-15;2018-05-17
19ª Reunión Anual de Autoridades Nacionales;HOLANDA;Biscotti Elma Lilia;Directora de Acuerdos Internacionales;Ministerio de Defensa;Organiazación para la Prohibición de Armas Químicas;2017-11-20;2017-12-03
18º Reunión Regional de Autoridades Nacionales de Estados Parte de América Latina y el Caribe;JAMAICA;Biscotti Elma Lilia;Directora de Acuerdos Internacionales;Ministerio de Defensa;Organización para la Prohibición de Armas Químicas;2017-06-12;2017-06-17
Reuniones con el Centro de Armadores Fluviales y Marítimos;PARAGUAY;Cussini Anabella;Asistente de Intervención;Administración General de Puertos;Centro de Armadores Fluviales y Marítimos;2018-05-16;2018-05-18
Encuentro de Coordinación del Proyecto RLA0057 de Cooperación Técnica;ECUADOR;Barrachina Tejada Raúl Oscar;Gerente de Área Académica;Comisión Nacional de Energía Atómica;ORGANISMO INTERNACIONAL DE ENERGÍA ATÓMICA - OIEA;2018-05-05;2018-05-13
Consultancy Meeting Presentation Documents;AUSTRIA;Cáceres Leandro Federico Hernán;Asesor;Subsecretaría de Energía Nuclear;Organismo Internacional de Energía Atómica;2018-05-05;2018-05-12
REUNIONES EN ANNP, PREFECTURA, CANCILLERIA;PARAGUAY;REYNAL JAVIER;SUB GERENTE;Administración General de Puertos;CENTRO DE ARMADORES FLUVIALES Y MARITIMOS;2018-05-16;2018-05-18
REUNIONES DE TRABAJO CON FUNCIONARIOS Y REPRESENTANTE DE ARMADORES DE LA RESPUBLICA DEL PARAGUAY;PARAGUAY;RIGUEIRO CRISTIAN LUIS;GERENTE;Administración General de Puertos;ADMINISTRACION GENERAL DE PUERTOS SOCIEDAD DEL ESTADO;2018-05-16;2018-05-18
The International School on Nuclear Security;ITALIA;Chao Lucas;Analista seguridad radiológica y nuclear;Ministerio de Energía y Minería;Organismo Internacional de Energía Atómica / Centro Internacional de Física Teórica;2018-04-07;2018-04-22
Reuniones con el Centro de Armadores Fluviales y Marítimos;PARAGUAY;Mórtola Gonzalo;Interventor;Ministerio de Transporte;Centro de Armadores Fluviales y Marítimos;2018-05-16;2018-05-18
FATF AML/CFT Workshop for Judges and Prosecutors: Experiences, Challenges and Best Practices, Busan 7 y 8 de mayo y Misión de Alto Nivel, Yakarta 9 al 11 de mayo;COREA DEL SUR;OTAMENDI Santiago;Secretario de Justicia;Ministerio de Justicia y Derechos Humanos;Financial Action Task Force - Groupe d’action financière (FATF-GAFI);2018-05-04;2018-05-12
FATF AML/CFT Workshop for Judges and Prosecutors: Experiences, Challenges and Best Practices, Busan 7 y 8 de mayo y Misión de Alto Nivel, Yakarta 9 al 11 de mayo;COREA DEL SUR;NEGRI Nicolás Ernesto;Coordinador Nacional para el Combate al Lavado de Activos y la Financiación del Terrorismo;Ministerio de Justicia y Derechos Humanos;Financial Action Task Force Training and Research Institute (FATF TREIN);2018-05-04;2018-05-14
COMISIÓN DE SERVICIO EN EL MARCO DEL PROGRAMA DE COOPERACIÓN BILATERAL NIVEL 1 (PCB-I) CON EL NATIONAL SCIENCE FOUNDATI (NSF) DE ESTADOS UNIDOS, SEGÚN RESOLUCIÓ 2291/16 DEL MINCYT, , CONICET DE ARGENTINA;ESTADOS UNIDOS;VOROBIOFF JUAN;INVESTIGADOR;Ministerio de Energía y Minería;CONICET;2018-08-22;2018-09-03
Taller: Inversión Pública Descentralizada;ESTADOS UNIDOS;Castillo Carrillo Maximiliano;Subsecretario;Jefatura de Gabinete de Ministros;Banco Interameciano de Desarrollo (BID);2017-11-28;2017-12-01
Taller regional “Planificación de Proyectos de Cooperación Triangular”;MÉXICO;Rocha Fany;Asesora;SSAYEE;Fondo Regional para la Cooperación Triangular en América Latina y el Caribe.;2018-04-21;2018-05-29
REUNION 2018 CONSEJO UIT;SUIZA;HUICI HECTOR MARIA;SECRETARIO;Secretaría de Tecnologías de la Información y las Comunicaciones;UIT;2018-04-14;2018-04-23
Taller regional “Planificación de Proyectos de Cooperación Triangular”;MÉXICO;Segovia Roitman Alan;Asesor;SSAYEE;Fondo Regional para la Cooperación Triangular en América Latina y el Caribe.;2018-04-21;2018-04-27
18th Meeting of the Partnership Assembly (PA18);UCRANIA;Bergel Marco;Director Nacional;SSAYEE;Banco Mundial;2018-04-24;2018-04-28
PROYECTO DE COOPERACIÓN MERCOSUR/ SGT 3: “TALLER DE DIFUSIÓN Y SENSIBILIZACIÓN DEL CONSUMIDOR EN ETIQUETADO DE EFICIENCIA ENERGÉTICA;BRASIL;Minoian Victoria;Coordinadora;SSAYEE;Physikalisch-Technische Bundesanstalt;2018-04-17;2018-04-20
Primer Taller para la elaboración de la versión 2.0 de la Ley marco Interamericana de acceso a la información de la OEA y XV Encuentro de la Red de Transparencia y Acceso a la Información (RTA);CHILE;ARAUJO MARIA FERNANDA;DIRECTORA NACIONAL;Ministerio del Interior, Obras Públicas y Vivienda;Programa EUROsociAL + (Programa de cooperación de la Unión Europea con América Latina) / FIIAPP (Fundación Internacional y para Ibero América de Administración y Políticas Públicas);2018-04-15;2018-04-20
X;ARGENTINA;X X;X;Secretaría de Turismo;X X;2018-05-13;2018-05-14
Gender Summit 12 en Ciencia, Tecnología e Innovación para América Latina y el Caribe;CHILE;D'Onofrio María Guillermina;Directora Nacional de Programas y Proyectos;Subsecretaría de Evaluación Institucional;UNESCO;2017-12-05;2017-12-07
ELECCIONES GENERALES Y DEPARTAMENTALES DE PRESIDENTE Y VICEPRESIDENTE DE LA REPUBLICA, SENADORES, PARLAMENTARIOS DEL MERCOSUR, DIPUTADOS, GOBERNADORES Y MIEMBROS DE JUNTAS DEPARTAMENTALES;PARAGUAY;COSTABELLA PAOLA FABIANA;DIRECTORA DE COOPERACIÓN Y ASISTENCIA ELECTORAL;Dirección Nacional Electoral;TRIBUNAL SUPERIOR DE JUSTICIA ELECTORAL;2018-04-18;2018-04-23
Consultancy Meeting (CM) to Develop a Roadmap for Future Activities Related to the Integration of Nuclear Security Applications in Major Urban Areas;AUSTRIA;Bieda Tomas;Director;Ministerio de Energía y Minería;Organismo Internacional de Energia Atomica;2018-04-23;2018-05-06
Aproximación transdisciplinaria a las controversias entre minería, comunidades y naturaleza en un contexto de cambios global;CHILE;Carrizo Erica;Coordinadora del Programa de Ciencia, Tecnología e Innovación para el Desarrollo Sustentable (CITIDES);Ministerio de Ciencia, Tecnología e Innovación Productiva;Lurralde;2018-04-02;2018-04-07
Professional Development Seminar on Transdisciplinary Approaches to Integrating Policy and Science for Sustainability;CANADÁ;Carrizo Erica Anabel;Coordinadora del Programa de Ciencia, Tecnología e Innovación para el Desarrollo Sustentable (CITIDES);Ministerio de Ciencia, Tecnología e Innovación Productiva;INTER-AMERICAN INSTITUTE FOR GLOBAL CHANGE RESEARCH;2017-10-01;2017-10-08
Elecciones Generales y Departamentales de Presidente y Vicepresidente de la República, Senadores, Parlamentarios del Mercosur, Diputados, Gobernadores y Miembros de Juntas Departamentales;PARAGUAY;PEREZ JOSE ADRIAN;SECRETARIO;Secretaria de Asuntos Políticos e Institucionales;TRIBUNAL SUPERIOR DE JUSTICIA ELECTORAL;2018-04-19;2018-04-23
Reunión Técnica de Estimación de Costos Nucleares y Análisis de Metodologías;AUSTRIA;Korenblum Mariela;Directora Simple;Subsecretaría de Energía Nuclear;Agencia Internacional de Energía Atómica;2018-04-21;2018-04-27
Reunión del grupo de expertos para la regionalización en América Latina de los módulos didácticos universitarios sobre delincuencia organizada;MÉXICO;Flom Hernán;Coordinador del Instituto Conjunto de Conducción Estratégica;Ministerio de Seguridad;Oficina de las Naciones Unidas contra la Droga y el Delito;2018-05-07;2018-05-12
