Descripcion;Funcionario;Cargo;Organismo;Fecha;Valor_estimado;Destino;Entregado_por
cuadro medidas 0.30 x 0.35 cm representando escena mitológica de Indonesia de la diosa Dewi Shinta.;ZLAUVINEN GUSTAVO RODOLFO;Subsecretario de Relaciones Exteriores;Ministerio de Relaciones Exteriores y Culto;2017-11-01;Inferior a 4 módulos pero con valor institucional (Art. 3, tercer párrafo, Anexo I, Dec. N° 1179/16).;;Ministerio de Relaciones Exteriores de Indonesia
"Fotolibro ""YACYRETA, Energia Limpia y Renovable para el Desarrollo""";HOLZMAN Patricia;JEFE DE GABINETE;Ministerio de Ambiente y Desarrollo Sustentable;2017-10-27;Inferior a 4 módulos.;;Yacireta Entidad Binacional
"Fotolibro ""YACYRETA Energia Limpia y renovable para el desarrollo""";BERGMAN Sergio Alejandro;Ministro;Ministerio de Ambiente y Desarrollo Sustentable;2017-10-27;Inferior a 4 módulos.;;YACYRETA Entidad BInacional
JUEGO DE CUBIERTOS Y PLATO EN ESTUCHE DE CUERO;FRIGERIO ROGELIO;MINISTRO;Ministerio del Interior, Obras Públicas y Vivienda;2017-10-19;Inferior a 4 módulos.;;MUNICIPALIDAD DE LOS CONQUISTADORES
"""Dos (2) budines Dos (2) cajas de obleas Dos (2) cajas de muffins""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-08-31;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Palacio Sr. Presidente de Pilares Compañía Alimenticia, D. Julio Cesar
"""Una (1) caja de bombones de chocolate Una (1) caja de bombones de fruta""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-08-29;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Manrique Sr. Gustavo L
Una (1) bandeja de vidrio;Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-08-29;Inferior a 4 módulos.;Casa de Gobierno;Peña Mauricio Macri
"Un (1) libro: ""Claves para progresar en la vida""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-08-28;Inferior a 4 módulos.;Casa de Gobierno;Brizuela Sr. Walter
"Un (1) árbol bebé tipo ""Timbó""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-08-28;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Laboratorio Kemex
"""Una (1) caja de alfajores de maicena Una (1) caja de alfajores de chocolate""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-08-28;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Chus Sra. Silvia
"Un (1) libro: ""Las Termas de Río Hondo""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-26;Inferior a 4 módulos.;Casa de Gobierno;Mukdise Sr. Intendente de Termas de Rio Hondo, D. Miguel
"Libro de tapa dura ""Croatia in the Baroque Period and the Age of Enlightenment"" ( Croacia en el Período Barroco y la era de la ilustración), contiene 754 páginas y fue editado por laAcademia de Ciencias y Artes de Croacia";Raimondi Guillermo Daniel;Secretario de Relaciones Exteriores;Ministerio de Relaciones Exteriores y Culto;2017-10-24;Inferior a 4 módulos.;;Ministerio de Asuntos Exteriores y Europeos de Croacia
Un (1) Nuevo Testamento de bolsillo;Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-28;Inferior a 4 módulos.;Casa de Gobierno;Paternoster Sr. Mario
"Un (1) libro: ""Ensayo sobre la democratización de la organización institucional estatal""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-27;Inferior a 4 módulos.;Casa de Gobierno;Haddad Sr. Roberto
"Un (1) libro: ""Tokonoma 14""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-25;Inferior a 4 módulos.;Casa de Gobierno;Cervera Sr. Oscar
"Dos (2) libros: ""Coca sexualidad y longevidad"" y ""Coca: Un biobanco""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-21;Inferior a 4 módulos.;Ministerio de Desarrollo Social;Ciudadano
"Un (1) libro: ""Prohibido, sólo para patriotas. Historia de vida de Andrés Salvador Sabino""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-21;Inferior a 4 módulos.;Ministerio de Desarrollo Social;Sabino Sr. Andrés Salvador
Una (1) camiseta de Jockey del Club Atlético Argentino;Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-20;Inferior a 4 módulos.;Ministerio de Desarrollo Social;Club Atlético Argentino - San Carlos Centro, Santa Fe
"Un (1) libro: ""Un faro que marca rumbos""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-06;Inferior a 4 módulos.;Ministerio de Desarrollo Social;Livini Sr. Presidente del Hospital Italiano, Ing. Franco
Una (1) vasija de cerámica;Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-05-25;Inferior a 4 módulos.;Ministerio de Desarrollo Social;Serrano Salgado Sr. Presidente de la Asamblea Nacional del Ecuador, D. José
"Libro ""La ganancia económica del delito"" Autor Roberto Durrie Figueroa.";CASARES Martin;Jefe de Gabinete;Ministerio de Justicia y Derechos Humanos;2017-10-20;Inferior a 4 módulos.;;Durrie Figueroa Roberto
Una (1) pulsera de plata con una medalla con el escudo de Estados Unidos de América;Macri Mauricio;Señora de Macri;Presidencia de la Nación;2017-08-17;Superior a 4 módulos o imposibilidad de determinar su valor.;Museo Casa Rosada;Karen Pence Segunda Dama de los Estados Unidos de América
"Una (1) bandera argentina con la inscripción ""granero del mundo""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-08-15;Inferior a 4 módulos.;Casa de Gobierno;Cardozo Irma
"Un (1) libro de arte: ""Noe"" (Luis Felipe Noé)";Macri Mauricio;Señora de Macri;Presidencia de la Nación;2017-08-12;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Arq. Andrés Duprat Director del Museo Nacional de Bellas Artes
"Tres (3) camisetas de Rugby del Equipo ""Pumpas XV""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-08-10;Inferior a 4 módulos.;Casa de Gobierno;Equipo de Rugby Pumpas XV
"Una (1) placa conmemorativa del encuentro con ""Pumpas XV"" Dos (2) pins del Equipo Pumpas XV""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-08-10;Inferior a 4 módulos.;Casa de Gobierno;Equipo de Rugby Pumpas XV
"Una (1) caja de alfajores artesanales ""Rialto""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-08-08;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Casamayor Rita
Dos (2) retratos del Señor Presidente y Señora;Macri Mauricio;Señora de Macri;Presidencia de la Nación;2017-08-08;Inferior a 4 módulos.;Casa de Gobierno;Alumnos del colegio Beijing Dayu Middle School
