Descripcion;Funcionario;Cargo;Organismo;Fecha;Valor_estimado;Destino;Entregado_por
Obsequio de Cortesía: Set botella y vasos de cristal - Alejandro Rollé.;Bullrich Patricia;MINISTRA;MINISTERIO DE SEGURIDAD;2024-11-22;Inferior a 4 módulos.;;Rollé Alejandro
Obsequio de Cortesía: Cuadro - Servicio Penitenciario Federal;Bullrich Patricia;MINISTRA;MINISTERIO DE SEGURIDAD;2024-11-22;Inferior a 4 módulos.;;Servicio Penitenciario Federal
"Un (1) libro: ""Volver a ser grandes""";Milei Karina Elizabeth;Secretaria Gral de Presidencia;Secretaría General;2024-11-07;Inferior a 4 módulos.;Casa de Gobierno;Dominguez Federico
Una (1) Letra de canción dedicada al Pte. Javier Milei;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-11-06;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Storaccio Fernando Sergio
Una (1) Estatuilla conmemorativa por el 203° Aniversario;Milei Karina Elizabeth;Secretaria Gral de Presidencia;Secretaría General;2024-11-01;Inferior a 4 módulos.;Casa de Gobierno;Argentina Policia Federal
Placa;Francos Guillermo Alberto;Jefe de Gabinete de Ministros;Jefatura de Gabinete de Ministros;2024-08-19;Inferior a 4 módulos.;;Asociación sin fines de lucro
Libro Universidad Católica de Santa Fe - Pasado presente y Futuro;Francos Guillermo Alberto;Jefe de Gabinete de Ministros;Jefatura de Gabinete de Ministros;2024-10-03;Inferior a 4 módulos.;;Universidad
Caja azul con lapicera;Francos Guillermo Alberto;Jefe de Gabinete de Ministros;Jefatura de Gabinete de Ministros;2024-09-23;Inferior a 4 módulos.;;Embajada de Arabia Saudita en Argentina
"Un (1) libro: ""La Argentina en un nuevo mundo""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-31;Inferior a 4 módulos.;Residencia Presidencial de Olivos;la Balze Felipe de
"Un (1) libro: ""La Argentina en un nuevo mundo""";Milei Karina Elizabeth;Secretaria Gral de Presidencia;Secretaría General;2024-10-31;Inferior a 4 módulos.;Casa de Gobierno;la Balze Felipe de
"Un (1) libro anillado: ""Utopías, utopías, utopías y por que no?";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-31;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Tarracini Manuel
"Un (1) libro anillado: ""Utopías, utopías, utopías y por que no?";Milei Karina Elizabeth;Secretaria Gral de Presidencia;Secretaría General;2024-10-31;Inferior a 4 módulos.;Casa de Gobierno;Tarracini Manuel
Un (1) Traje de baño masculino;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-30;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Sport Meolans
Una (1) Traje de baño femenino;Milei Karina Elizabeth;Secretaria Gral de Presidencia;Secretaría General;2024-10-30;Inferior a 4 módulos.;Casa de Gobierno;Sport Meolans
Una (1) Caja de alfajores + Un (1) Toallón microfibra;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-30;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Turismo Agencia Córdoba
Una (1) Caja de alfajores + Un (1) Toallón microfibra;Milei Karina Elizabeth;Secretaria Gral de Presidencia;Secretaría General;2024-10-30;Inferior a 4 módulos.;Casa de Gobierno;Turismo Agencia Córdoba
Un (1) Cuchillo artesanal;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-30;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Contini Natalia
"Una (1) Bolsa con: Un (1) Termo+ Un (1) paquete yerba Mate Rojo+ Un (1) paquete yerba mate 10+ Un (1) paquete capsulas yerba mate + Un (1) libro: ""Jesús, tú eres mi vida""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-30;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Stepaniuk Pedro
Obsequio de Cortesía: Moneda - Ministerio del Interior de Uruguay - Ministro Nicolás Martinelli;Bullrich Patricia;MINISTRA;MINISTERIO DE SEGURIDAD;2024-11-15;Inferior a 4 módulos.;;Ministerio del Interior de la Republica Oriental del Uruguay
Obsequio de Cortesía: Moneda - Departament Homeland Security Ivestigations, EEUU;Bullrich Patricia;MINISTRA;MINISTERIO DE SEGURIDAD;2024-11-11;Inferior a 4 módulos.;;Departament Of Homeland Security
Obsequio de Cortesía: Mate - Policía de la Provincia de Córdoba;Bullrich Patricia;MINISTRA;MINISTERIO DE SEGURIDAD;2024-11-19;Inferior a 4 módulos.;;Policia de la Provincia de Córdoba
Obsequio de Cortesía: Cuchillo - Ministerio del Interior de Uruguay - Ministro Nicolás Martinelli;Bullrich Patricia;MINISTRA;MINISTERIO DE SEGURIDAD;2024-11-15;Inferior a 4 módulos.;;Ministerio del Interior de la Republica Oriental del Uruguay
Una (1) Placa conmmemorativa en agradecimiento por su visita;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-30;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Mediterránea Fundación
"Un (1) libro: ""El poder del Gran Secreto""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-30;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Pardo Luis Alberto
"Un (1) libro ""Argentina Organizada""";Milei Karina Elizabeth;Secretaria Gral de Presidencia;Secretaría General;2024-10-29;Inferior a 4 módulos.;Casa de Gobierno;Lousin Rodolfo
"Un (1) libro ""Argentina Organizada""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-29;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Lousin Rodolfo
"Un (1) libro: ""El derecho a elegir tu sindicato""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-28;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Peretta Marcelo
"Un (1) libro: ""A time to heal, the autobiography of Herald Ford """;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-28;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Serrano Miguel
Una (1) Lámina con el dibujo de La Catedral de Córdoba;Milei Karina Elizabeth;Secretaria Gral de Presidencia;Secretaría General;2024-10-25;Inferior a 4 módulos.;Casa de Gobierno;Fernández Nidia
Una (1) Lámina con el dibujo de La Catedral de Córdoba;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-25;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Fernández Nidia
Un (1) Dibujo con la imagen del Pte. Javier Milei;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-25;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Espósito David
"Un (1) libro: ""Avivamiento Hasta lo último de la Tierra""";Milei Karina Elizabeth;Secretaria Gral de Presidencia;Secretaría General;2024-10-25;Inferior a 4 módulos.;Casa de Gobierno;Mensajera Paloma
"Un (1) libro:""Unleashed (Desatado)""- libro autobiográfico";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-14;Inferior a 4 módulos.;Casa de Gobierno;del Partido Conservador Boris Johnson- Ex primer ministro británico y Ex líder
Piedra obtenida en el yacimiento de Vaca Muerta;Francos Guillermo Alberto;JEFE DE GABINETE;Jefatura de Gabinete de Ministros;2024-06-25;Inferior a 4 módulos.;;CLUB DEL PETROLEO DE BUENOS AIRES ASOCIACION CIVIL
Corbata;Francos Guillermo Alberto;JEFE DE GABINETE;Jefatura de Gabinete de Ministros;2024-06-25;Inferior a 4 módulos.;;EXXONMOBIL EXPLORATION ARGENTINA SRL
Un neceser, vaso y botella térmica institucional ExxonMobil;Francos Guillermo Alberto;JEFE DE GABINETE;Jefatura de Gabinete de Ministros;2024-06-25;Inferior a 4 módulos.;;EXXONMOBIL EXPLORATION ARGENTINA SRL
Una (1) Caja con comestibles;Milei Karina Elizabeth;Secretaria Gral de Presidencia;Secretaría General;2024-10-24;Inferior a 4 módulos.;Casa de Gobierno;de San Juan Marcelo Oberro- Gobernador de la Pcia
Una (1) Caja con comestibles;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-24;Inferior a 4 módulos.;Residencia Presidencial de Olivos;de San Juan Marcelo Oberro- Gobernador de la Pcia
"Un (1) Almanaque 2024 ""Las Almendras""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-22;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Boucher Francisco Marcelo
Un (1) Dibujo de retrato del Pte. Javier Milei;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-22;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Acuña Abril Lara
Una (1) Réplica de sable;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-22;Superior a 4 módulos o imposibilidad de determinar su valor.;Casa de Gobierno;Policía Federal Argentina Luis Alejandro Rolle- Comisario General- Jefe de
Un (1) Cuadro + Dos (2) Catalogos de pinturas;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-22;Superior a 4 módulos o imposibilidad de determinar su valor.;Residencia Presidencial de Olivos;Marina Ferrary Day Sergio Roggerone y
Un (1) estatilla del Pte Javier Milei con la motosierra;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-22;Inferior a 4 módulos.;Casa de Gobierno;Bravo, Maria Marco M. Sol Rodriguez Battini, Sergio Iacovino, Javier Herrero
"Un (1) libro: ""Ley de Bases y Puntos de Partida""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-22;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Bravo, Maria Marco M. Sol Rodriguez Battini, Sergio Iacovino, Javier Herrero
"Cuadro de 25x40 ""Paisaje de Turquía""";Herrera Bravo Dante Javier;Secretario;Secretaría Legal y Técnica;2024-11-05;Inferior a 4 módulos.;;Embajada de la República de Turquía
Estatuilla en escala de las Torres Petronas de Malasia;FRANCOS GUILLERMO ALBERTO;JEFE DE GABINETE;Jefatura de Gabinete de Ministros;2024-06-06;Inferior a 4 módulos.;;ABDUL RAHIM Nur Azman
"Un (1) libro: ""Marketing, Pensamiento y Acción para crecer""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-22;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Malisani Carlos María
Un (1) Pastel dulce;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-22;Inferior a 4 módulos.;Casa de Gobierno;Patricio y Arijon Vogel Adriana Mabel Vogel y
"Una (1) Cesteria de Papeles Reciclados ""Grullas Origami""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-21;Inferior a 4 módulos.;Residencia Presidencial de Olivos;de Aguilera Claudia Esquivel
Una (1) Cajita de bombones Ferrero Rocher;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-21;Inferior a 4 módulos.;Casa de Gobierno;Benicio Tania, Nico y
Un (1) Cuadro con el dibujo del Pte Javier Milei;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-19;Inferior a 4 módulos.;Residencia Presidencial de Olivos;co-Founder de INTMAX Sra. Mai Hioki:
"Un (1) Disco ""Let it bleed"" de Rollong Stones";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-18;Inferior a 4 módulos.;Casa de Gobierno;Urbani David
"Un (1) libro: ""Crónica de un viaje a lo desconocido""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-18;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Cramer Guillermo Marina
Una (1) Canasta con Productos Linea Bagovit Solar y Capilar;Milei Karina Elizabeth;Secretaria Gral de Presidencia;Secretaría General;2024-10-18;Inferior a 4 módulos.;Casa de Gobierno;Bagó Laboratorios
"Dos (2) Banderas NOVA+ Dos (2) Remeras de algodón + Dos (2) Cadenas con dije ""We will dance again""+ Una (1) Gorra";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-17;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Hamas del 7/10/23 Representantes del Grupo NOVA, Sobrevivientes del Ataque de
Un (1) Cuaderno hecho por los alumnos de la Escuela E.E.S.O N° 268;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-16;Inferior a 4 módulos.;Residencia Presidencial de Olivos;M. de Guemes Alumnos de la Escuela E.E.S.O. N° 268- Martín
"Un (1) libro: ""El lenguaje inclusivista""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-14;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Cordón Alvaro
"Un (1) libro: "" Camino de transformación""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-14;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Rodriguez Emanuel
"Un (1) libro: ""El libro de oro de 220 años de resiliencia """;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-10;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Rigaud Jean Marie
"Un (1) libro: ""UTOPYC, la primera utopía anarcocapitalista""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-10;Inferior a 4 módulos.;Residencia Presidencial de Olivos;W. Galt W. Galt
Una (1) Bolsa de Alimentos congelados para mascotas;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-09;Inferior a 4 módulos.;Casa de Gobierno;"""Motis_Tails"" Angel Gabriel Fernandez-"
"Una (1) Revista ""Fundación emprendamos"" + Carpeta informativa + Un (1) Emprendedores de Panamá";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-09;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Emprendamos Paraná Moisés Cohen- Presidente Fundación
Un (1) Plato conmemorativo 35 años de CEAL;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-09;Inferior a 4 módulos.;Residencia Presidencial de Olivos;de America Latina CEAL- Consejo Empresarial
Un (1) Cuadrito pintado de la Bandera Argentina;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-09;Inferior a 4 módulos.;Residencia Presidencial de Olivos;- Stratesys Valentina Hardy
Un par de gemelos plateados con esmaltado en azul;Petri Luis;MINISTRO DE DEFENSA;MINISTERIO DE DEFENSA;2024-11-05;Inferior a 4 módulos.;;Gobierno de Estonia
"Seis (6) Cajas de Barras Proteicas ""Pure Wellness""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-04;Inferior a 4 módulos.;Casa de Gobierno;Gentech Gentech
Una (1) Escultura de escritorio en madera de la Pcia de Santa Fe;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-04;Inferior a 4 módulos.;Residencia Presidencial de Olivos;"Socorro""- Sta. Fe Fabiana Belforte -Docente Escuela N° 1062 ""Nstra. Señora del Perpetuo"
Panoplia de madera con mapa de Brasil tallado en piedra.;PRESTI CARLOS ALBERTO;JEMGE;Jefatura de Estado Mayor General del Ejército;2024-08-21;Inferior a 4 módulos.;EMGE;Ribeiro Paiva. General de Ejército Tomás Miguel
RÉPLICA DEL SABLE TURCO TIPO FACSÍMIL, DISPUESTO EN COFRE DE MADERA MOLDEADO, CON ESTRIBOS PARA EXPOSICIÓN.;PRESTI CARLOS ALBERTO;JEMGE;Jefatura de Estado Mayor General del Ejército;2024-10-22;Superior a 4 módulos o imposibilidad de determinar su valor.;EMGE;OMUR BUDAK SR. EMBAJADOR
"Sable dorado y labrado, réplica del empleado por el Prócer peruano ""General Bolognesi"".";PRESTI CARLOS ALBERTO;JEMGE;Jefatura de Estado Mayor General del Ejército;2024-05-28;Superior a 4 módulos o imposibilidad de determinar su valor.;EMGE;Briceño Valdivia General del Ejército del Perú César
Obsequio de Cortesía: Caja con llave simbólica -Complejo Penitenciario Federal;Bullrich Patricia;MINISTRA;MINISTERIO DE SEGURIDAD;2024-10-17;Inferior a 4 módulos.;;Complejo Penitenciario Federal
Obsequio de cortesía: Plato alegórico - Gobernador de la Provincia de Tucumán, Osvaldo Jaldo;Bullrich Patricia;MINISTRA;MINISTERIO DE SEGURIDAD;2024-10-14;Inferior a 4 módulos.;;Gobernación Provincia de Tucuman
Obsequio de Cortesía: Placa - PFA Agencia Regional Federal NOA Tucumán;Bullrich Patricia;MINISTRA;MINISTERIO DE SEGURIDAD;2024-10-14;Inferior a 4 módulos.;;PFA Agencia Regional Federal NOA Tucumán
Obsequio de cortesía: Cuadro parches - Policía de la Provincia de Tucumán;Bullrich Patricia;MINISTRA;MINISTERIO DE SEGURIDAD;2024-10-14;Inferior a 4 módulos.;;Policía de la Provincia de Tucumán
Obsequio de cortesía: Cuadro Caballo - Diego Aguilar;Bullrich Patricia;MINISTRA;MINISTERIO DE SEGURIDAD;2024-10-14;Inferior a 4 módulos.;Despacho;Aguilar Diego
Obsequio de cortesía: Caja alfajores - Gobernador de la Provincia de Tucumán, Osvaldo Jaldo;Bullrich Patricia;MINISTRA;MINISTERIO DE SEGURIDAD;2024-10-14;Inferior a 4 módulos.;;Gobernación Provincia de Tucuman
Delft Blue plate windmill.;BARRA Rodolfo Carlos;Procurador del Tesoro de la Nación;Procuración del Tesoro de la Nación;2024-10-08;Inferior a 4 módulos.;;Corte Permanente de Arbitraje. Es una organización intergubernamental para la resolución de disputas a nivel internacional.
"Una (1) Bolsa con comestibles + Dos (2) Mensajes del Rebe de Lubavitch, Admur Schneerson+ un (1) libro ""Escencia""+ Tres (3) Revistas : ""El Magazine de Tzivot Hashem""/ ""Códigos de Rosh Hashaná""/""La fuerza liberadora de la Danza y Simjat Torá""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-02;Inferior a 4 módulos.;Residencia Presidencial de Olivos;de JABAD Argentina Rabino Tzvi Grunblatt - Director General
"Una (1) Revista: ""El Campo en Marcha""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-01;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Sabalain Alfredo Sanchez
Un (1) Cuadro con plato decorativo pintado;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-09-30;Inferior a 4 módulos.;Residencia Presidencial de Olivos;de El Salvador Nayib Bukele- Presidente de la República
"Un (1) libro: ""Parlamento del Norte Grande Argentino""";Milei Karina Elizabeth;Secretaria Gral de Presidencia;Secretaría General;2024-09-30;Inferior a 4 módulos.;Casa de Gobierno;Norte Grande Argentino Carlos Silva Neder- Presidente Parlamento del
"Dos (2) Vasitos de barro artesanal ""Thuru Maky""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-09-29;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Martinez Franco Aníbal
"Un (1) libro : ""Corrientes, Producción en imágenes"" + Un (1) paquete de arroz ""María""";Milei Karina Elizabeth;Secretaria Gral de Presidencia;Secretaría General;2024-09-27;Inferior a 4 módulos.;Casa de Gobierno;Escobar Pablo Adolfo
"Una (1) Caja de Bombones ""Corso""";Milei Karina Elizabeth;Secretaria Gral de Presidencia;Secretaría General;2024-09-27;Inferior a 4 módulos.;Casa de Gobierno;de Comercio Internacional Gustavo D'Amuri- Presidente Consultores
Un (1) Poncho;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-09-25;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Provincia de Córdoba Martín LLARYORA-Gobernador de la
Un (1) Leikaj (Torta de miel);Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-09-25;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Congreso Judio Latinoamericano Claudio Epelman- Director Ejecutivo de
"Un (1) libro: ""Digital Health, the impact of technology on healthcare""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-09-24;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Pte. De INVAMED Rasit Dinc
Un (1) Cuadro con la caricatura del Pte Javier Milei;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-09-24;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Blanco Alfredo
"Un (1) libro: ""El Peso""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-09-23;Inferior a 4 módulos.;Casa de Gobierno;Arriete Samuel Aurelio
"Un (1) libro :"" Moral de Señores""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-09-23;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Arias Eduardo Gutierrez
"Una (1) Conmemoración ""Opening Bell Ceremony- September 2024""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-09-21;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Bell Ceremony NYSE - Opening
"Un (1) libro: ""Perfil de los monarcas""";Milei Karina Elizabeth;Secretaria Gral de Presidencia;Secretaría General;2024-09-20;Inferior a 4 módulos.;Casa de Gobierno;Pawelko Ezequiel
"Un (1) libro: ""Perfil de los monarcas""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-09-20;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Pawelko Ezequiel
Una (1) Caja de Palmeritas;Milei Karina Elizabeth;Secretaria Gral de Presidencia;Secretaría General;2024-09-20;Inferior a 4 módulos.;Casa de Gobierno;"Confitería ""La Pichona"" Georgina Medaura - Panadería y"
Obsequio de Cortesía: Gorra - Servicio Penitenciario Federal.;Bullrich Patricia;MINISTRA;MINISTERIO DE SEGURIDAD;2024-10-04;Inferior a 4 módulos.;;Servicio Penitenciario Federal
Medallón dorado de 9cm de diámetro. Reviste diseños en bajo relieve del difunto padre fundador de Emiratos Árabes Unidos, Jeque Zayed bin Sultan Al Nahayan en el frente y en el reverso luce imágenes de un palacio de cúpula de Abu Dhabi.;Cartolano Mariano Jorge;Director;Dirección de Investigaciones;2024-09-26;Superior a 4 módulos o imposibilidad de determinar su valor.;;Autoridad de Rendición de Cuentas -Accountability Authority
Viaje por Curso de Capacitación;Azcarate Viviana;Instructora de capacitación;Administración Federal de Ingresos Públicos;2024-07-17;Superior a 4 módulos o imposibilidad de determinar su valor.;Administrción Federal ed Ingresos publicos;OPAQ - Organización para la prohibición de armas quimicas -
Obsequio de Cortesía: Adorno - Ministro de Justicia y Seguridad de El Salvador Gustavo Villatoro;Bullrich Patricia;MINISTRA;MINISTERIO DE SEGURIDAD;2024-09-30;Inferior a 4 módulos.;;Rep. de El Salvador
Un (1) Mate con bombilla;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-09-13;Inferior a 4 módulos.;Residencia Presidencial de Olivos;de General Levalle Laura Rodriguez Paredes- Municipalidad
Un (1) Mate con bombilla;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-09-13;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Mates EL Tero
"Cinco (5) libros: "" Momentos de Paz""/""Más allá de lo imaginable""/ ""El gran conflicto""/""Soy Jesús, vida y esperanza""/""Esperanza para un mundo en crisis""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-09-13;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Los Polvorines de 4° A Alumnos del Instituto Adventista
Un (1) Mate con bombilla;Milei Karina Elizabeth;Secretaria Gral de Presidencia;Secretaría General;2024-09-13;Inferior a 4 módulos.;Casa de Gobierno;de General Levalle Laura Rodriguez Paredes- Municipalidad
"Un (1) libro: ""Voces de una patria en la Cruz del Sur""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-09-09;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Milani Orlando
"Dos (2) Diarios ""Nuevo Mutualista""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-09-10;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Mutualista Nuevo
"Una (1) Revista: ""Indices 2023""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-09-09;Inferior a 4 módulos.;Residencia Presidencial de Olivos;la República Argentina Barbara Anzini- Apoderada de AECA (Asociación de Empresas de Correo de
"Un (1) libro: "" Pasos a Cristo""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-09-09;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Lauret Carlos Fabián
"Un (1) Libro: ""La Despreciada letra Ñ""+ Un (1) pendrive+ Un (1) CD : ""La letra Ñ y el asesinato del idioma español""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-09-12;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Ayres Mangas Jorge Eduardo
"Un (1) libro: ""No es lo que parece""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-09-11;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Suarez Alberto Cabrera
"Un (1) libro: ""Movilidad Previsional""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-09-09;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Castellanos Alejandro
"Un (1) libro: ""Se busca al profugo""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-09-20;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Camps Rodolfo Luis
Una (1) Caja de Palmeritas;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-09-20;Inferior a 4 módulos.;Residencia Presidencial de Olivos;"Confitería ""La Pichona"" Georgina Medaura - Panadería y"
"Un (1) libro: ""D'iamo escribe Kathy""";Milei Karina Elizabeth;Secretaria Gral de Presidencia;Secretaría General;2024-09-19;Inferior a 4 módulos.;Casa de Gobierno;Anizton Horacio
"Un (1) libro: "" De Proletarios a Propietarios""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-09-18;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Llanos Euge
Tres (3) Dibujos en lápiz, carbonilla acrílico óleo y tinta china;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-09-13;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Petrocelli Marcelo
Un (1) Manto para poner al lomo de los animales;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-09-13;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Criadores de Hereford Jorge Collinet-Presidente de la Asociación Argentina de
"Un (1) libro : ""Julio Argentino Roca, de soldado a presidente""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-09-13;Inferior a 4 módulos.;Residencia Presidencial de Olivos;SIMMENTAL de Argentina Juan Carlos Coria- Pte. De la Asociación
"Libro ""Comentarios al Código Penal"" y diploma - Walter Antonio Varela - Fundación Delta Presidente, y Centro de Funcionarios Judiciales de Tucumán Vicepresidente";Bullrich Patricia;MINISTRA;MINISTERIO DE SEGURIDAD;2024-09-27;Inferior a 4 módulos.;;Walter Antonio Varela - Fundación Delta Presidente, y Centro de Funcionarios Judiciales de Tucumán Vicepresidente
La Iglesia de Nuestra Señora de la Piedad del Monte Calvario.;Sotelo Larcher Nahuel;Secretario de Culto y Civilización;Secretaría de Culto y Civilización;2024-09-24;Inferior a 4 módulos.;Secretaría de Culto y Civilización;De Masi Oscar Andrés
Libro titulado: El Templo de la Congregación Evangélica Alemana en Buenos Aires de Oscar Andrés De Masi.;Sotelo Larcher Nahuel;Secretario de Culto y Civilización;Secretaría de Culto y Civilización;2024-09-24;Inferior a 4 módulos.;Secretaria de Culto y Civilización;De Masi Oscar Andrés
